strategy,variant,exp_id,total_trades,wins,losses,win_rate,profit_factor,expectancy_r,average_r,median_r,std_r,gross_profit,gross_loss,net_profit,sharpe,sortino,max_drawdown,max_drawdown_pct,drawdown_duration_days,ulcer_index,consecutive_losses_max,avg_trade_duration_bars,avg_trade_duration_hours,annualised_return,return_over_maxdd,total_costs,cost_per_trade,final_equity,span_days,t_stat_aux,signals_raw,skipped_in_position,sizing_failed,gate1,gate1_reasons
baseline,reference,EXP-0001-baseline-gate1,1160,335,825,0.28879310344827586,0.5126841792078708,-0.38999097409647043,-0.38999097409647043,-1.0493012213543418,1.132956051039251,9447.452681862807,-18427.431672379113,-8979.978990516305,-9.580232998368553,-67.69404555417768,8979.978990516307,0.8979978990516307,544.5833333333334,0.6558667289913627,26,14.48103448275862,3.620258620689655,-0.7822275705155862,-0.9999999999999998,4325.1399999999885,3.7285689655172316,1020.0210094836925,546.9895833333334,-11.723856315557477,3902,2742,0,,
A,primary,EXP-0002-A-gate1,24,7,17,0.2916666666666667,0.3067015881873329,-0.5330265914291048,-0.5330265914291048,-0.9732839575826466,0.9013294058893607,275.4274600964528,-898.0307592284854,-622.6032991320326,-2.3674266958592245,-8.607477345968288,622.603299132028,0.0622603299132028,482.75,0.03130625865930191,5,93.70833333333333,23.427083333333332,-0.04201641964964842,-1.0000000000000073,137.15499999999997,5.714791666666666,9377.396700867972,546.9895833333334,-2.8971498318042035,59,35,0,REJECTED — GATE 1,PF 0.307 < 1.2; trades 24 < 50; expectancy -0.5330R <= 0
B,primary,EXP-0003-B-gate1,67,19,48,0.2835820895522388,0.6457281218159349,-0.2812379334670539,-0.2812379334670539,-1.0823732653341938,1.3230979611049776,1663.8355445214156,-2576.6812506823,-912.8457061608844,-1.42175539077467,-38.563123207132115,1137.958769539502,0.11214552748682789,363.0625,0.04922706230009007,8,44.865671641791046,11.216417910447761,-0.06191885695262578,-0.802178190102868,425.3249999999998,6.348134328358206,9087.154293839114,546.9895833333334,-1.739880013372329,93,26,0,REJECTED — GATE 1,PF 0.646 < 1.2; expectancy -0.2812R <= 0
C,primary,EXP-0004-C-gate1,62,16,46,0.25806451612903225,0.5628106248278643,-0.3577810923680993,-0.3577810923680993,-1.0718120837711909,1.269064047888834,1366.74928937893,-2428.435479157755,-1061.686189778825,-1.8139916095613628,-39.56853558910812,1254.8387689025094,0.12405475455372027,363.0625,0.057610570126912335,17,49.04838709677419,12.262096774193548,-0.0722069178054292,-0.8460737873977093,381.575,6.154435483870968,8938.313810221172,546.9895833333334,-2.2198809769810266,86,24,0,REJECTED — GATE 1,PF 0.563 < 1.2; expectancy -0.3578R <= 0
A:RR15,diagnostic:RR1.5,EXP-0005-A-gate1,24,7,17,0.2916666666666667,0.3067015881873329,-0.5330265914291048,-0.5330265914291048,-0.9732839575826466,0.9013294058893607,275.4274600964528,-898.0307592284854,-622.6032991320326,-2.3674266958592245,-8.607477345968288,622.603299132028,0.0622603299132028,482.75,0.03130625865930191,5,93.70833333333333,23.427083333333332,-0.04201641964964842,-1.0000000000000073,137.15499999999997,5.714791666666666,9377.396700867972,546.9895833333334,-2.8971498318042035,59,35,0,,
A:RR25,diagnostic:RR2.5,EXP-0006-A-gate1,24,7,17,0.2916666666666667,0.3067015881873329,-0.5330265914291048,-0.5330265914291048,-0.9732839575826466,0.9013294058893607,275.4274600964528,-898.0307592284854,-622.6032991320326,-2.3674266958592245,-8.607477345968288,622.603299132028,0.0622603299132028,482.75,0.03130625865930191,5,93.70833333333333,23.427083333333332,-0.04201641964964842,-1.0000000000000073,137.15499999999997,5.714791666666666,9377.396700867972,546.9895833333334,-2.8971498318042035,59,35,0,,
A:no-mgmt,diagnostic:entry-exit-only,EXP-0007-A-gate1,21,5,16,0.23809523809523808,0.5190704909318257,-0.3964344547602089,-0.3964344547602089,-0.9726346776287544,1.276433763822815,444.6869393495794,-856.6985546631358,-412.01161531355643,-1.163023100394764,-5.966041856198311,470.30482929278696,0.046757916008965346,257.5416666666667,0.02117496486102273,6,155.33333333333334,38.833333333333336,-0.02770374213942517,-0.8760522742943381,132.31,6.300476190476191,9587.988384686443,546.9895833333334,-1.4232551257390458,59,38,0,,
A:retest,diagnostic:retest-entry,EXP-0008-A-gate1,23,6,17,0.2608695652173913,0.26951780606408887,-0.5855758289660917,-0.5855758289660917,-0.9771579170873336,0.8813271953121983,241.3599621432603,-895.5251071087567,-654.1651449654966,-2.603847065742417,-9.675208180620112,654.1651449654946,0.06541651449654946,482.75,0.03440992087233762,5,96.52173913043478,24.130434782608695,-0.044170651618648527,-1.0000000000000029,129.31,5.622173913043478,9345.834855034505,546.9895833333334,-3.1864703991696857,51,28,0,,
B:RR15,diagnostic:RR1.5,EXP-0009-B-gate1,67,24,43,0.3582089552238806,0.6672539504697648,-0.2363547405125718,-0.2363547405125718,-1.0757615238779554,1.1760261477627283,1548.5321030854889,-2320.753743001867,-772.221639916378,-1.344281819207643,-29.345572170811305,1000.5480410644723,0.09841174178552688,361.15625,0.04464923618962996,8,34.17910447761194,8.544776119402986,-0.05225004717350945,-0.7717986625557927,430.60499999999996,6.426940298507462,9227.778360083616,546.9895833333334,-1.6450713566873023,93,26,0,,
B:RR25,diagnostic:RR2.5,EXP-0010-B-gate1,65,17,48,0.26153846153846155,0.7076376760286254,-0.23613689844128366,-0.23613689844128366,-1.0749230808056298,1.4771928646104335,1828.0349367571114,-2583.292267614032,-755.2573308569205,-1.0531468089541083,-33.44871324775558,996.7511305285807,0.09756484592882544,363.4166666666667,0.04327388393286745,8,52.4,13.1,-0.05108696228645171,-0.7577190611827095,423.02499999999986,6.508076923076921,9244.742669143077,546.9895833333334,-1.2887934844036073,93,28,0,,
B:trail,diagnostic:trailing-exit,EXP-0011-B-gate1,67,32,35,0.47761194029850745,0.5332929710576626,-0.2683129190624257,-0.2683129190624257,-1.0087220919101196,0.8913377183797104,989.769419726292,-1855.9581195366488,-866.1886998103566,-2.01345665668292,-28.753902582287182,892.8009113277167,0.08928009113277167,544.3854166666666,0.043750958944014706,4,23.0,5.75,-0.05870541254798756,-0.970192445841275,430.17499999999995,6.420522388059701,9133.81130018964,546.9895833333334,-2.4639772899649883,93,26,0,,
B:session,diagnostic:london-ny-session,EXP-0012-B-gate1,4,2,2,0.5,1.7436726460283267,0.3871929884407248,0.3871929884407248,0.3900332987628806,1.6196024594951135,179.78123254884082,-103.10492222169103,76.67631032714979,0.39071009872656287,76.94177878132342,103.1049222216916,0.010128402552701607,126.82291666666667,0.0050609675346736235,2,42.0,10.5,0.0051135286712533645,0.7436726460283226,21.55,5.3875,10076.67631032715,546.9895833333334,0.4781333668280874,4,0,0,,
